n,x,y,val,a1,a2
74,55.686188,37.797688,0.41630731,3.059134484,0.41630731
75,55.711794,37.753508,2.102296578,5.154474672,2.102296578
76,55.654863,37.541443,0.495808256,0.495808256,9.804916769
77,55.735551,37.789036,0.746483388,7.098511102,0.746483388
78,55.751378,37.409884,4.784385709,8.393635259,4.784385709
79,55.668252,37.297888,0.510414361,1.591430757,0.510414361
80,55.846729,37.782425,0.998771189,3.803787913,0.998771189
81,55.687739,37.754013,2.083024859,3.186052887,2.083024859
82,55.747026,37.321074,1.395234352,8.037510894,1.395234352
83,55.746681,37.689611,4.54072248,8.009279527,4.54072248
84,55.667396,37.603536,1.521384237,1.521384237,7.825501256
85,55.725767,37.478683,6.297885921,6.297885921,7.409880859
86,55.819081,37.31248,1.067271659,6.066225057,1.067271659
87,55.709768,37.505909,4.988686996,4.988686996,8.448874608
88,55.651205,37.366338,0.196473943,0.196473943,3.122591035
89,55.714985,37.394578,4.200280871,5.415594352,4.200280871
90,55.778273,37.341925,2.190946489,9.405545622,2.190946489
91,55.716587,37.691535,4.467299135,5.546686088,4.467299135
92,55.819987,37.576404,5.992087034,5.992087034,8.860907793
93,55.695632,37.751668,2.17251433,3.831937449,2.17251433
94,55.757991,37.586356,8.481121347,8.934777361,8.481121347
95,55.656497,37.709211,0.629518553,0.629518553,3.79275078
96,55.874113,37.305209,0.789797055,1.562953901,0.789797055
97,55.672981,37.647663,1.978405051,1.978405051,6.141534563
98,55.738002,37.36016,2.886827302,7.299076548,2.886827302
99,55.726467,37.500718,6.355166954,6.355166954,8.250776593
100,55.86984,37.680936,1.912613693,1.912613693,4.87177628
101,55.781718,37.540443,9.12364111,9.12364111,9.766754948
102,55.744205,37.402693,4.509964052,7.806668331,4.509964052
103,55.730842,37.322576,1.452553407,6.71317341,1.452553407
104,55.664815,37.416432,1.310180885,1.310180885,5.034269316
105,55.792631,37.526804,8.230629805,8.230629805,9.246265866
106,55.765761,37.371534,3.320879859,9.570596827,3.320879859
107,55.813031,37.406857,4.668869876,6.561296843,4.668869876
108,55.709915,37.47111,5.000716013,5.000716013,7.120881385
109,55.787427,37.357718,2.793636135,8.65647337,2.793636135
110,55.722753,37.701619,4.082475328,6.051250159,4.082475328
111,55.749203,37.40079,4.437342105,8.215654906,4.437342105
112,55.676029,37.556091,2.227823034,2.227823034,9.636088871
113,55.844336,37.456894,3.999607216,3.999607216,6.578372933
114,55.668556,37.626677,1.616307092,1.616307092,6.942398547
115,55.665112,37.582149,1.334484409,1.334484409,8.64166813
116,55.850702,37.350129,2.504026072,3.478677135,2.504026072
117,55.858167,37.732928,2.867815833,2.867815833,2.887666863
118,55.803374,37.557114,7.351529608,7.351529608,9.597049328
119,55.685983,37.684334,3.042359324,3.042359324,4.742102411
120,55.859221,37.423659,2.781566964,2.781566964,5.310064799
121,55.78369,37.390134,4.030689737,8.962272257,4.030689737
122,55.713826,37.540446,5.320753327,5.320753327,9.766869433
123,55.687835,37.550283,3.193908571,3.193908571,9.85773273
124,55.84674,37.517737,3.802887782,3.802887782,8.900252631
125,55.827766,37.352256,2.585196266,5.355531097,2.585196266
126,55.67279,37.669787,1.962775512,1.962775512,5.297242427
127,55.827308,37.457042,5.393009259,5.393009259,6.584020882
128,55.680382,37.623697,2.58402923,2.58402923,7.056120775
129,55.740009,37.534451,7.463309453,7.463309453,9.538089314
130,55.792705,37.43723,5.827958877,8.224574381,5.827958877
131,55.77659,37.303333,0.718205479,9.543265592,0.718205479
132,55.83681,37.332764,1.841346044,4.615460151,1.841346044
133,55.682348,37.286114,0.061097076,2.744907102,0.061097076
134,55.754205,37.785804,0.869822395,8.624968802,0.869822395
135,55.663401,37.565113,1.194473199,1.194473199,9.291792919
136,55.847029,37.385846,3.779238899,3.779238899,3.867051847
137,55.697404,37.806252,0.089489471,3.976940293,0.089489471
138,55.793499,37.59798,8.037528335,8.159601324,8.037528335
139,55.779312,37.365511,3.091031209,9.320524203,3.091031209
140,55.744495,37.417485,5.074453714,7.830399044,5.074453714
141,55.888226,37.407261,0.408086445,0.408086445,4.684287252
142,55.831267,37.605815,5.069044102,5.069044102,7.738530465
143,55.811095,37.702596,4.045191229,6.719719814,4.045191229
144,55.846228,37.664207,3.844784767,3.844784767,5.51018539
145,55.746166,37.795459,0.501370009,7.967137053,0.501370009
146,55.749013,37.380101,3.647812183,8.200107197,3.647812183
147,55.819803,37.375628,3.477114356,6.007143763,3.477114356
148,55.850796,37.441751,3.470985111,3.470985111,6.000488471
149,55.837058,37.52263,4.595166299,4.595166299,9.086978423
150,55.78419,37.64314,6.314140481,8.921357233,6.314140481
151,55.652629,37.466569,0.31299993,0.31299993,6.947588555
152,55.853967,37.497232,3.211502031,3.211502031,8.117744484
153,55.722863,37.331744,1.802420986,6.060251464,1.802420986
154,55.728928,37.68786,4.607543829,6.5565507,4.607543829
155,55.89257,37.442781,0.05261672,0.05261672,6.039795147
156,55.892891,37.572316,0.026349275,0.026349275,9.016913319
157,55.789288,37.739195,2.648506728,8.504187653,2.648506728
158,55.729323,37.717629,3.471504568,6.588873568,3.471504568
159,55.856398,37.639381,3.012573187,3.012573187,6.457590768
160,55.797934,37.698862,4.18768747,7.796685065,4.18768747
161,55.688843,37.582649,3.276393259,3.276393259,8.622587219
162,55.660285,37.310456,0.939490772,0.939490772,0.990032132
163,55.766536,37.63716,6.542348173,9.634015114,6.542348173
164,55.653134,37.444484,0.354324104,0.354324104,6.104784729
165,55.828425,37.369956,3.260660505,5.301605096,3.260660505
166,55.710311,37.405246,4.607391182,5.033120712,4.607391182
167,55.859214,37.285964,0.055372803,2.782139774,0.055372803
168,55.658768,37.45924,0.81535459,0.81535459,6.667900566
169,55.886535,37.341771,0.546461055,0.546461055,2.185069569
170,55.787113,37.586698,8.468070004,8.682168005,8.468070004
171,55.799878,37.489889,7.637607453,7.637607453,7.837522229
172,55.706117,37.788548,0.765106357,4.689925494,0.765106357
173,55.881384,37.513318,0.967967628,0.967967628,8.731615543
174,55.836732,37.38916,3.993520123,4.621842894,3.993520123
175,55.663053,37.740095,1.165996342,1.165996342,2.614161089
176,55.781839,37.422225,5.255340747,9.113739674,5.255340747
177,55.675309,37.693643,2.1689054,2.1689054,4.386854016
178,55.715169,37.685774,4.687149388,5.430651081,4.687149388
179,55.823766,37.354616,2.675258165,5.682851286,2.675258165
180,55.849856,37.363959,3.031804062,3.547905355,3.031804062
181,55.828948,37.458991,5.258807982,5.258807982,6.658398272
182,55.831544,37.654823,5.046377179,5.046377179,5.868295922
183,55.666509,37.467895,1.448800985,1.448800985,6.99819113
184,55.853106,37.526058,3.281957702,3.281957702,9.217797147
185,55.847436,37.572827,3.74593407,3.74593407,8.997412629
186,55.66657,37.391792,1.453792618,1.453792618,4.093962037
187,55.67081,37.329287,1.708657391,1.800752018,1.708657391
188,55.731566,37.736562,2.748986804,6.772418364,2.748986804
189,55.649018,37.313082,0.01751163,0.01751163,1.090245075
190,55.848842,37.355154,2.695789225,3.630881023,2.695789225
191,55.669437,37.774934,1.284641393,1.688399363,1.284641393
192,55.828569,37.347402,2.399958785,5.28982157,2.399958785
193,55.823801,37.328023,1.660420849,5.679987235,1.660420849
194,55.667447,37.346548,1.525557569,1.525557569,2.36736859
195,55.727062,37.679732,4.917723113,6.403855832,4.917723113
196,55.794,37.429658,5.538997565,8.11860447,5.538997565
197,55.872314,37.729951,1.710166156,1.710166156,3.001274605
198,55.82034,37.299251,0.562428924,5.963201028,0.562428924
199,55.666845,37.740795,1.476295881,1.476295881,2.587447814
200,55.813854,37.309762,0.963547828,6.493950714,0.963547828
201,55.794549,37.619516,7.21567535,8.073679774,7.21567535
202,55.78971,37.296528,0.458514284,8.469655373,0.458514284
203,55.87767,37.315548,1.184352127,1.271884423,1.184352127
204,55.828272,37.705815,3.922348326,5.314125094,3.922348326
205,55.863846,37.377119,2.403102995,2.403102995,3.534013631
206,55.720358,37.580437,5.855267196,5.855267196,8.707001168
207,55.793429,37.361605,2.941971134,8.165329427,2.941971134
208,55.847461,37.353098,2.61732852,3.743888318,2.61732852
209,55.83273,37.577733,4.949326743,4.949326743,8.810190733
210,55.851002,37.462611,3.454128121,3.454128121,6.796544065
211,55.88194,37.771953,0.922470122,0.922470122,1.398401783
212,55.729526,37.724146,3.222803978,6.605485068,3.222803978
213,55.876407,37.804241,0.166232894,1.375235773,0.166232894
214,55.690242,37.616675,3.390873495,3.390873495,7.324093084
215,55.671597,37.68231,1.865152265,1.865152265,4.819341938
216,55.796421,37.766485,1.607070622,7.920493926,1.607070622
217,55.78775,37.479856,7.454644675,8.630042265,7.454644675
218,55.676092,37.791063,0.669129376,2.232978327,0.669129376
219,55.715715,37.626696,5.475330287,5.475330287,6.941673472
220,55.785356,37.41922,5.140664474,8.825943398,5.140664474
221,55.821569,37.501258,5.8626319,5.8626319,8.271383977
222,55.790418,37.309019,0.935193595,8.411719699,0.935193595
223,55.736971,37.671693,5.224505995,7.214709769,5.224505995
224,55.662882,37.398859,1.152003404,1.152003404,4.363651628
225,55.824876,37.674855,5.103838316,5.592019934,5.103838316
226,55.758504,37.703451,4.012562872,8.976756175,4.012562872
227,55.788054,37.449252,6.286740294,8.605165931,6.286740294
228,55.888052,37.331593,0.422324873,0.422324873,1.796658551
229,55.739539,37.595717,7.42484933,7.42484933,8.123888537
230,55.75471,37.565829,8.666292976,8.666292976,9.264469055
231,55.863818,37.295344,0.413330687,2.405394237,0.413330687
232,55.866274,37.61145,2.204419641,2.204419641,7.523488601
233,55.790679,37.704495,3.97272193,8.390362057,3.97272193
234,55.749102,37.725414,3.174414788,8.207390072,3.174414788
235,55.67634,37.801419,0.273925554,2.253272179,0.273925554
236,55.815032,37.551896,6.397554918,6.397554918,9.796177712
237,55.823348,37.586021,5.717056246,5.717056246,8.493905557
238,55.745332,37.553169,7.898890794,7.898890794,9.747597713
239,55.746859,37.55635,8.023845276,8.023845276,9.62620496
240,55.671265,37.700868,1.83798469,1.83798469,4.111134856
241,55.846603,37.442724,3.814098499,3.814098499,6.037619924
242,55.81786,37.619864,6.166139545,6.166139545,7.202395036
243,55.732777,37.394032,4.179444517,6.871514551,4.179444517
244,55.649674,37.522229,0.071192141,0.071192141,9.071675533
245,55.722936,37.431771,5.619633494,6.066225057,5.619633494
246,55.834317,37.566551,4.819462458,4.819462458,9.23691622
247,55.665737,37.710859,1.385628189,1.385628189,3.729860099
248,55.85771,37.57934,2.905212165,2.905212165,8.748864686
249,55.783367,37.708701,3.812213309,8.988703362,3.812213309
250,55.669717,37.586622,1.711311777,1.711311777,8.470970302
251,55.728467,37.67511,5.094107052,6.518827048,5.094107052
252,55.717025,37.293753,0.35261523,5.582527648,0.35261523
253,55.863348,37.530899,2.443854359,2.443854359,9.402538524
254,55.799773,37.465918,6.922745209,7.646199608,6.922745209
255,55.845981,37.631053,3.864996788,3.864996788,6.775402416
256,55.686557,37.687605,3.089329771,3.089329771,4.617275093
257,55.753477,37.719657,3.394112394,8.565396528,3.394112394
258,55.870745,37.338437,1.8385575,1.8385575,2.057838056
259,55.757611,37.757992,1.931178971,8.903681943,1.931178971
260,55.778634,37.52486,9.172079285,9.376004975,9.172079285
261,55.790685,37.364888,3.067256394,8.389871077,3.067256394
262,55.805812,37.709254,3.791109822,7.152027953,3.791109822
263,55.737794,37.560451,7.282055898,7.282055898,9.46970333
264,55.869146,37.517391,1.969403745,1.969403745,8.887048641
265,55.83404,37.721261,3.332900833,4.842129381,3.332900833
266,55.790039,37.626203,6.96048725,8.442733287,6.96048725
267,55.768048,37.431338,5.603109425,9.757742145,5.603109425
268,55.687914,37.798791,0.374214821,3.200373145,0.374214821
269,55.851565,37.576888,3.408057805,3.408057805,8.842437472
270,55.730732,37.433869,5.699696995,6.704172105,5.699696995
271,55.697064,37.673156,3.949118077,3.949118077,5.168675251
272,55.876371,37.495283,1.378181655,1.378181655,8.043367094
273,55.801285,37.556078,7.522472577,7.522472577,9.636584975
274,55.749906,37.31855,1.298913915,8.273181429,1.298913915
275,55.662368,37.659274,1.10994276,1.10994276,5.698437655
276,55.674696,37.489072,2.118743581,2.118743581,7.806344021
277,55.870682,37.406169,1.843712793,1.843712793,4.642614543
278,55.830752,37.322224,1.439120446,5.111186577,1.439120446
279,55.65561,37.75597,0.556935301,0.556935301,2.008342174
280,55.891086,37.801671,0.17405251,0.17405251,0.264308775
281,55.815936,37.794963,0.520298273,6.323580556,0.520298273
282,55.775127,37.366874,3.143045771,9.662982951,3.143045771
283,55.853905,37.334551,1.909541219,3.216575494,1.909541219
284,55.678338,37.80535,0.123911434,2.416768613,0.123911434
285,55.819927,37.699233,4.173529434,5.996996837,4.173529434
286,55.724666,37.601489,6.207791039,6.207791039,7.903618504
287,55.877346,37.765369,1.298397359,1.298397359,1.649659215
288,55.763935,37.3053,0.793269781,9.421175161,0.793269781
289,55.75376,37.69666,4.271719801,8.588554431,4.271719801
290,55.891255,37.47748,0.160223232,0.160223232,7.363972188
291,55.846431,37.55824,3.828173267,3.828173267,9.554079117
292,55.792031,37.386026,3.873920975,8.279727833,3.873920975
293,55.657915,37.322742,0.74555356,0.74555356,1.45888827
294,55.802343,37.405435,4.614603766,7.435896387,4.614603766
295,55.723608,37.593953,6.121214849,6.121214849,8.19120599
296,55.784944,37.652979,5.938666321,8.859657378,5.938666321
297,55.846271,37.539429,3.841266074,3.841266074,9.728058861
298,55.804829,37.355377,2.704299311,7.23246689,2.704299311
299,55.680256,37.377446,2.573718644,2.573718644,3.546492547
300,55.705989,37.773715,1.331160654,4.679451248,1.331160654
301,55.777219,37.7769,1.209615253,9.491794492,1.209615253
302,55.840276,37.358266,2.814548813,4.331837207,2.814548813
303,55.723242,37.344867,2.303218568,6.091265052,2.303218568
304,55.873485,37.766694,1.599094802,1.614343171,1.599094802
305,55.684414,37.765138,1.658474596,2.91396798,1.658474596
306,55.800836,37.44377,6.077537189,7.559214268,6.077537189
307,55.729938,37.652057,5.97385152,6.639199047,5.97385152
308,55.761064,37.710245,3.753291457,9.186241096,3.753291457
309,55.856241,37.333103,1.854282901,3.025420504,1.854282901
310,55.761949,37.637559,6.527121606,9.258660688,6.527121606
311,55.869769,37.652622,1.918423626,1.918423626,5.952290091
312,55.785099,37.62559,6.983880447,8.84697372,6.983880447
313,55.883264,37.805172,0.130704238,0.814127139,0.130704238
314,55.844622,37.633285,3.976203822,3.976203822,6.690225231
315,55.822326,37.495096,5.800686554,5.800686554,8.036230833
316,55.662581,37.784764,0.909510689,1.12737256,0.909510689
317,55.842544,37.401529,4.14624666,4.14624666,4.465543691
318,55.854507,37.737872,2.698994818,3.167313806,2.698994818
319,55.874584,37.431424,1.524411949,1.524411949,5.606391342
320,55.846442,37.48875,3.827273136,3.827273136,7.794055915
321,55.731674,37.33254,1.832797796,6.781256009,1.832797796
322,55.673302,37.297839,0.508544432,2.004672496,0.508544432
323,55.740586,37.490982,7.51052539,7.51052539,7.8792331
324,55.771327,37.4222,5.254386701,9.97393713,5.254386701
325,55.741068,37.784374,0.924393799,7.549967473,0.924393799
326,55.875958,37.762627,1.411977464,1.411977464,1.754298929
327,55.683445,37.382019,2.834674664,2.834674664,3.721006556
328,55.768273,37.776325,1.2315583,9.776153906,1.2315583
329,55.769422,37.773409,1.342838171,9.87017663,1.342838171
330,55.748254,37.3962,4.262179345,8.137998192,4.262179345
331,55.742853,37.557191,7.696034107,7.696034107,9.594110868
332,55.810519,37.795847,0.486563223,6.766853921,0.486563223
333,55.846771,37.644258,3.800351051,3.800351051,6.271475565
334,55.700257,37.760113,1.850237748,4.210401417,1.850237748
335,55.648989,37.316989,0.015138559,0.015138559,1.239343311
336,55.86852,37.590445,2.020629355,2.020629355,8.325077659
337,55.871801,37.338084,1.75214497,1.75214497,2.044366934
338,55.80738,37.316341,1.214614451,7.023718439,1.214614451
339,55.665332,37.740376,1.35248702,1.35248702,2.603437617
340,55.67901,37.46412,2.471758405,2.471758405,6.854130254
341,55.724708,37.340375,2.131795666,6.211227901,2.131795666
342,55.728493,37.697545,4.237946589,6.520954629,4.237946589
343,55.784541,37.670062,5.286747926,8.892634887,5.286747926
344,55.891276,37.77517,0.158504801,0.158504801,1.275635204
345,55.774878,37.617496,7.292762229,9.683358632,7.292762229
346,55.755064,37.797831,0.410850169,8.695260813,0.410850169
347,55.844083,37.792885,0.599598538,4.020310218,0.599598538
348,55.741803,37.755127,2.04051259,7.610112557,2.04051259
349,55.699983,37.29158,0.269689592,4.187979984,0.269689592
350,55.86298,37.682325,2.473967816,2.473967816,4.81876951
351,55.774671,37.365305,3.083169874,9.700297452,3.083169874
352,55.75449,37.479277,7.432548981,8.648290366,7.432548981
353,55.761716,37.715426,3.55557506,9.239594287,3.55557506
354,55.660693,37.335508,0.972877431,0.972877431,1.946062082
355,55.787944,37.380493,3.662771617,8.614167236,3.662771617
356,55.787369,37.362269,2.967310584,8.661219513,2.967310584
357,55.687092,37.428774,3.133108846,3.133108846,5.505262515
358,55.726015,37.50504,6.318179772,6.318179772,8.415711985
359,55.862264,37.757295,1.957777761,2.53255813,1.957777761
360,55.843213,37.671072,4.091502359,4.091502359,5.248204486
361,55.670266,37.527674,1.756236472,1.756236472,9.27946665
362,55.789552,37.657073,5.782431824,8.48258452,5.782431824
363,55.867807,37.393881,2.078974179,2.078974179,4.173682081
364,55.674729,37.650265,2.121443973,2.121443973,6.042237504
365,55.739261,37.644271,6.270979461,7.402100577,6.270979461
366,55.740865,37.592705,7.533355973,7.533355973,8.238831943
367,55.791152,37.687301,4.628876287,8.351656445,4.628876287
368,55.8342,37.509872,4.829036574,4.829036574,8.600109906
369,55.785214,37.607085,7.690064951,8.837563265,7.690064951
370,55.84459,37.437508,3.978822384,3.978822384,5.838567863
371,55.809771,37.5752,6.828062796,6.828062796,8.906854626
372,55.734143,37.572227,6.983294396,6.983294396,9.020309721
373,55.877314,37.509044,1.30101592,1.30101592,8.568511918
374,55.826228,37.308872,0.929583807,5.48138571,0.929583807
375,55.722848,37.603061,6.059024013,6.059024013,7.843628121
376,55.747393,37.410949,4.825028049,8.067542521,4.825028049
377,55.874091,37.392459,1.564754162,1.564754162,4.119415971
378,55.863853,37.470778,2.402530185,2.402530185,7.108211661
379,55.776437,37.733216,2.876676258,9.555785589,2.876676258
380,55.71903,37.769965,1.474267484,5.746596893,1.474267484
381,55.775189,37.557272,9.59101976,9.657909488,9.59101976
382,55.808845,37.633202,6.693392662,6.90383742,6.693392662
383,55.835729,37.413354,4.703918432,4.703918432,4.916807229
384,55.741729,37.421883,5.242289404,7.604057134,5.242289404
385,55.800807,37.495606,7.561587339,7.561587339,8.055693362
386,55.77116,37.537641,9.659825524,9.987602748,9.659825524
387,55.741223,37.806221,0.090672488,7.56265113,0.090672488
388,55.658706,37.597315,0.810281127,0.810281127,8.062905946
389,55.724135,37.748892,2.278451546,6.164339284,2.278451546
390,55.874374,37.781622,1.029415132,1.541596259,1.029415132
391,55.76071,37.780114,1.086963159,9.157273259,1.086963159
392,55.879718,37.670925,1.104296487,1.104296487,5.253814274
393,55.862169,37.734393,2.540331985,2.540331985,2.831759794
394,55.787271,37.557776,8.669238858,8.669238858,9.571786202
395,55.694105,37.666478,3.706982967,3.706982967,5.423519894
396,55.697165,37.382874,3.753634913,3.957382911,3.753634913
397,55.678645,37.540204,2.441890438,2.441890438,9.757634272
398,55.73175,37.39563,4.240427107,6.787475093,4.240427107
399,55.814875,37.526937,6.410402236,6.410402236,9.251341388
400,55.824453,37.310351,0.986025141,5.626634044,0.986025141
401,55.694671,37.480827,3.753298774,3.753298774,7.491699804
402,55.753242,37.786481,0.843986842,8.546166467,0.843986842
403,55.805385,37.74726,2.340731638,7.186969383,2.340731638
404,55.785343,37.755707,2.018378733,8.827007189,2.018378733
405,55.658295,37.588475,0.776648978,0.776648978,8.400256447
406,55.686026,37.714912,3.045878016,3.045878016,3.575190237
407,55.707264,37.433898,4.783784558,4.783784558,5.700803688
408,55.801444,37.757283,1.958235703,7.509461599,1.958235703
409,55.687847,37.568521,3.194890532,3.194890532,9.161737431
410,55.781002,37.72946,3.020012059,9.182231424,3.020012059
411,55.713249,37.400352,4.420627228,5.27353739,4.420627228
412,55.769301,37.627183,6.923088665,9.860275194,6.923088665
413,55.882889,37.642547,0.844813407,0.844813407,6.336770441
414,55.81708,37.341885,2.189420017,6.229966982,2.189420017
415,55.681143,37.407938,2.646301896,2.646301896,4.710122805
416,55.766937,37.574412,8.936926142,9.666828963,8.936926142
417,55.812578,37.369078,3.227154426,6.598365854,3.227154426
418,55.836966,37.479939,4.602694663,4.602694663,7.457812106
419,55.773707,37.514418,8.773593546,9.779181618,8.773593546
420,55.746468,37.333439,1.867105273,7.991849727,1.867105273
421,55.723804,37.721395,3.327787149,6.137253538,3.327787149
422,55.881968,37.377483,0.92017888,0.92017888,3.547904534
423,55.739555,37.409462,4.768281421,7.426158611,4.768281421
424,55.710571,37.514625,5.054396524,5.054396524,8.781493043
425,55.724443,37.683024,4.792094397,6.189542938,4.792094397
426,55.816919,37.655135,5.856389434,6.243141619,5.856389434
427,55.690868,37.359902,2.876981553,3.442099104,2.876981553
428,55.865039,37.59318,2.305479749,2.305479749,8.220705078
429,55.735753,37.402947,4.519657154,7.115040772,4.519657154
430,55.785606,37.41381,4.93420902,8.805485886,4.93420902
431,55.720992,37.518229,5.907147445,5.907147445,8.919028247
432,55.823989,37.780883,1.057616718,5.664603186,1.057616718
433,55.784625,37.301315,0.641194923,8.885761163,0.641194923
434,55.654111,37.571926,0.43427206,0.43427206,9.03179643
435,55.738247,37.418903,5.128567176,7.319124909,5.128567176
436,55.806533,37.566493,7.093028489,7.093028489,9.239129605
437,55.873738,37.448113,1.593640169,1.593640169,6.243273979
438,55.793486,37.526261,8.160665115,8.160665115,9.225543997
439,55.663722,37.574495,1.220740644,1.220740644,8.93375871
440,55.880234,37.555959,1.062072182,1.062072182,9.641126232
441,55.888974,37.370977,0.34687757,0.34687757,3.299623724
442,55.718111,37.659914,5.67139508,5.67139508,5.674014089
443,55.820618,37.651579,5.940452275,5.940452275,5.992092871
444,55.861067,37.689412,2.630508696,2.630508696,4.548316682
445,55.734567,37.774686,1.294105525,7.017990336,1.294105525
446,55.65604,37.727167,0.592122221,0.592122221,3.107517116
447,55.84725,37.391592,3.761154458,3.761154458,4.086329672
448,55.744297,37.604356,7.794208562,7.814196695,7.794208562
449,55.849655,37.558445,3.564353195,3.564353195,9.546255944
450,55.720408,37.409638,4.774997901,5.859358698,4.774997901
451,55.727747,37.338807,2.07195793,6.459909414,2.07195793
452,55.825377,37.527759,5.55102308,5.55102308,9.282710405
453,55.768457,37.341191,2.162935713,9.791210635,2.162935713
454,55.829284,37.322913,1.465413941,5.231313086,1.465413941
455,55.780935,37.402377,4.497904916,9.187714037,4.497904916
456,55.723459,37.777712,1.178627854,6.109022172,1.178627854
457,55.787575,37.527443,8.644362523,8.644362523,9.27065127
458,55.836018,37.780389,1.076468658,4.680269548,1.076468658
459,55.785152,37.536754,8.842636728,8.842636728,9.625975989
460,55.834455,37.398038,4.332320773,4.808169912,4.332320773
461,55.727007,37.393482,4.158455515,6.399355179,4.158455515
462,55.831386,37.642397,5.059306327,5.059306327,6.342494715
463,55.865055,37.7389,2.304170468,2.304170468,2.659764465
464,55.75611,37.450434,6.331847566,8.780855042,6.331847566
465,55.875934,37.608373,1.413941385,1.413941385,7.640912525
466,55.656301,37.749984,0.613479864,0.613479864,2.236778837
